Intervals,Threads,Time (s),Pi Approximation
100000000,1,1.61505,3.14159
100000000,2,0.832012,3.14159
100000000,3,0.570136,3.14159
100000000,4,0.473337,3.14159
100000000,5,0.584576,3.14159
100000000,6,0.501683,3.14159
100000000,7,0.49434,3.14159
100000000,8,0.470761,3.14159
100000000,9,0.482449,3.14159
100000000,10,0.502949,3.14159
100000000,11,0.483042,3.14159
100000000,12,0.549255,3.14159
100000000,13,0.539976,3.14159
100000000,14,0.607262,3.14159
100000000,15,0.566931,3.14159
100000000,16,0.49804,3.14159
100000000,17,0.535247,3.14159
100000000,18,0.524682,3.14159
100000000,19,0.537596,3.14159
100000000,20,0.558083,3.14159
100000000,21,0.512799,3.14159
100000000,22,0.534402,3.14159
100000000,23,0.533752,3.14159
100000000,24,0.541241,3.14159
100000000,25,0.517592,3.14159
100000000,26,0.521125,3.14159
100000000,27,0.55971,3.14159
100000000,28,0.572369,3.14159
100000000,29,0.543633,3.14159
100000000,30,0.546074,3.14159
100000000,31,0.546711,3.14159
100000000,32,0.53894,3.14159
100000000,33,0.595751,3.14159
100000000,34,0.560477,3.14159
100000000,35,0.669299,3.14159
100000000,36,0.574876,3.14159
100000000,37,0.697501,3.14159
100000000,38,0.565716,3.14159
100000000,39,0.628777,3.14159
100000000,40,0.554024,3.14159
100000000,41,0.563855,3.14159
100000000,42,0.552957,3.14159
100000000,43,0.544211,3.14159
100000000,44,0.577994,3.14159
100000000,45,0.585933,3.14159
100000000,46,0.595658,3.14159
100000000,47,0.605307,3.14159
100000000,48,0.584764,3.14159
100000000,49,0.564672,3.14159
100000000,50,0.621125,3.14159
1000000000,1,15.1967,3.14159
1000000000,2,8.10937,3.14159
1000000000,3,5.5693,3.14159
1000000000,4,5.14724,3.14159
1000000000,5,4.78412,3.14159
1000000000,6,4.81128,3.14159
1000000000,7,4.62157,3.14159
1000000000,8,5.4022,3.14159
1000000000,9,4.51284,3.14159
1000000000,10,4.53364,3.14159
1000000000,11,4.49475,3.14159
1000000000,12,4.59792,3.14159
1000000000,13,4.70243,3.14159
1000000000,14,4.5389,3.14159
1000000000,15,4.44227,3.14159
1000000000,16,4.63589,3.14159
1000000000,17,4.57276,3.14159
1000000000,18,4.43908,3.14159
1000000000,19,4.61509,3.14159
1000000000,20,4.39633,3.14159
1000000000,21,4.59974,3.14159
1000000000,22,4.59723,3.14159
1000000000,23,4.39454,3.14159
1000000000,24,4.68441,3.14159
1000000000,25,4.23639,3.14159
1000000000,26,4.51794,3.14159
1000000000,27,4.54971,3.14159
1000000000,28,4.33581,3.14159
1000000000,29,4.22068,3.14159
1000000000,30,4.57626,3.14159
1000000000,31,4.08598,3.14159
1000000000,32,4.41873,3.14159
1000000000,33,4.43683,3.14159
1000000000,34,4.22105,3.14159
1000000000,35,4.44081,3.14159
1000000000,36,4.35321,3.14159
1000000000,37,4.58384,3.14159
1000000000,38,5.03191,3.14159
1000000000,39,5.206,3.14159
1000000000,40,4.8026,3.14159
1000000000,41,4.53192,3.14159
1000000000,42,4.50739,3.14159
1000000000,43,4.57059,3.14159
1000000000,44,4.74928,3.14159
1000000000,45,4.6719,3.14159
1000000000,46,4.82827,3.14159
1000000000,47,4.55738,3.14159
1000000000,48,5.05816,3.14159
1000000000,49,5.13644,3.14159
1000000000,50,4.78547,3.14159
3000000000,1,45.4363,3.14159
3000000000,2,22.9197,3.14159
3000000000,3,16.1554,3.14159
3000000000,4,13.4999,3.14159
3000000000,5,13.3157,3.14159
3000000000,6,13.1905,3.14159
3000000000,7,13.072,3.14159
3000000000,8,12.8897,3.14159
3000000000,9,12.8433,3.14159
3000000000,10,12.7389,3.14159
3000000000,11,12.5553,3.14159
3000000000,12,12.6775,3.14159
3000000000,13,12.4821,3.14159
3000000000,14,12.3901,3.14159
3000000000,15,12.6226,3.14159
3000000000,16,12.3726,3.14159
3000000000,17,12.2746,3.14159
3000000000,18,12.5416,3.14159
3000000000,19,12.4255,3.14159
3000000000,20,12.2673,3.14159
3000000000,21,12.5029,3.14159
3000000000,22,12.4945,3.14159
3000000000,23,13.7876,3.14159
3000000000,24,16.2504,3.14159
3000000000,25,13.257,3.14159
3000000000,26,13.6385,3.14159
3000000000,27,14.8137,3.14159
3000000000,28,15.7194,3.14159
3000000000,29,17.449,3.14159
3000000000,30,14.1058,3.14159
3000000000,31,12.9856,3.14159
3000000000,32,13.8403,3.14159
3000000000,33,14.5384,3.14159
3000000000,34,13.4628,3.14159
3000000000,35,13.5211,3.14159
3000000000,36,13.102,3.14159
3000000000,37,12.9221,3.14159
3000000000,38,12.8209,3.14159
3000000000,39,13.1884,3.14159
3000000000,40,14.8233,3.14159
3000000000,41,13.8895,3.14159
3000000000,42,13.7052,3.14159
3000000000,43,14.3186,3.14159
3000000000,44,13.8766,3.14159
3000000000,45,14.4345,3.14159
3000000000,46,14.0099,3.14159
3000000000,47,13.0898,3.14159
3000000000,48,13.8203,3.14159
3000000000,49,13.3146,3.14159
3000000000,50,15.3979,3.14159
